活动名称,公司名称,产品名称,合同订单金额/万元,新购合同订单金额/万元,新客户合同订单金额/万元,行业
新年营销峰会,腾讯科技,企业版CRM,50,50,0,互联网科技
新年营销峰会,阿里巴巴,高级咨询服务,80,80,80,互联网电商
新年营销峰会,百度网讯,基础版CRM,30,30,30,互联网科技
数字化转型论坛,腾讯科技,营销自动化平台,45,0,0,互联网科技
数字化转型论坛,京东集团,企业版CRM,35,35,35,互联网电商
数字化转型论坛,字节跳动,高级咨询服务,60,60,60,互联网科技
线上产品发布会,美团点评,营销自动化平台,55,55,0,互联网生活服务
线上产品发布会,小米科技,基础版CRM,25,25,25,智能硬件
线上产品发布会,华为技术,企业版CRM,70,70,70,通信设备
客户成功案例分享,阿里巴巴,营销自动化平台,65,0,0,互联网电商
客户成功案例分享,百度网讯,高级咨询服务,40,0,0,互联网科技
客户成功案例分享,拼多多,基础版CRM,20,20,20,互联网电商
春季营销策略会,腾讯科技,高级咨询服务,90,0,0,互联网科技
春季营销策略会,京东集团,营销自动化平台,48,0,0,互联网电商
春季营销策略会,美团点评,企业版CRM,55,0,0,互联网生活服务
AI赋能营销讲座,字节跳动,基础版CRM,28,0,0,互联网科技
AI赋能营销讲座,华为技术,高级咨询服务,75,0,0,通信设备
AI赋能营销讲座,滴滴出行,营销自动化平台,42,42,42,互联网出行
行业洞察分享会,小米科技,企业版CRM,38,0,0,智能硬件
行业洞察分享会,拼多多,高级咨询服务,52,0,0,互联网电商
行业洞察分享会,网易,基础版CRM,22,22,22,互联网科技
数据驱动增长论坛,阿里巴巴,企业版CRM,62,0,0,互联网电商
数据驱动增长论坛,腾讯科技,营销数据分析,85,85,0,互联网科技
数据驱动增长论坛,百度网讯,营销自动化平台,44,0,0,互联网科技
营销自动化工作坊,京东集团,高级咨询服务,58,0,0,互联网电商
营销自动化工作坊,字节跳动,营销自动化平台,66,0,0,互联网科技
营销自动化工作坊,美团点评,基础版CRM,26,0,0,互联网生活服务
客户体验优化研讨,华为技术,企业版CRM,72,0,0,通信设备
客户体验优化研讨,小米科技,营销数据分析,46,46,0,智能硬件
客户体验优化研讨,滴滴出行,高级咨询服务,54,0,0,互联网出行
品牌建设实战课,网易,营销自动化平台,38,38,0,互联网科技
品牌建设实战课,拼多多,企业版CRM,31,0,0,互联网电商
品牌建设实战课,快手,基础版CRM,24,24,24,互联网科技
社交媒体营销峰会,阿里巴巴,高级咨询服务,88,0,0,互联网电商
社交媒体营销峰会,腾讯科技,营销自动化平台,76,0,0,互联网科技
社交媒体营销峰会,百度网讯,企业版CRM,49,0,0,互联网科技
内容营销创新论坛,京东集团,营销数据分析,56,56,0,互联网电商
内容营销创新论坛,字节跳动,企业版CRM,68,0,0,互联网科技
内容营销创新论坛,华为技术,基础版CRM,27,0,0,通信设备
销售漏斗优化讲座,美团点评,高级咨询服务,64,0,0,互联网生活服务
销售漏斗优化讲座,小米科技,营销自动化平台,41,0,0,智能硬件
销售漏斗优化讲座,滴滴出行,企业版CRM,53,0,0,互联网出行
客户留存策略会,网易,营销数据分析,39,39,0,互联网科技
客户留存策略会,拼多多,高级咨询服务,47,0,0,互联网电商
客户留存策略会,快手,营销自动化平台,35,0,0,互联网科技
增长黑客实战营,阿里巴巴,营销自动化平台,71,0,0,互联网电商
增长黑客实战营,腾讯科技,企业版CRM,82,0,0,互联网科技
增长黑客实战营,百度网讯,营销数据分析,43,0,0,互联网科技
营销ROI提升研讨,京东集团,基础版CRM,29,0,0,互联网电商
营销ROI提升研讨,字节跳动,高级咨询服务,67,0,0,互联网科技
营销ROI提升研讨,华为技术,营销自动化平台,59,0,0,通信设备
