活动名称,线索数,触达企业数,合同订单转化率,合同订单金额/万元,新购合同订单转化率,新客户合同订单金额/万元
新年营销峰会,580,48,6.25,160,6.25,110
数字化转型论坛,420,35,8.57,140,8.57,95
线上产品发布会,650,52,5.77,150,5.77,95
客户成功案例分享,380,32,9.38,125,3.13,20
春季营销策略会,720,58,5.17,193,0.00,0
AI赋能营销讲座,490,41,7.32,145,2.44,42
行业洞察分享会,360,28,10.71,112,3.57,22
数据驱动增长论坛,550,45,6.67,191,1.85,0
营销自动化工作坊,410,34,8.82,150,0.00,0
客户体验优化研讨,470,38,7.89,172,2.63,0
品牌建设实战课,320,26,11.54,93,7.69,24
社交媒体营销峰会,680,56,5.36,213,0.00,0
内容营销创新论坛,520,42,7.14,151,2.38,0
销售漏斗优化讲座,440,36,8.33,158,0.00,0
客户留存策略会,390,31,9.68,121,3.23,0
增长黑客实战营,610,50,6.00,196,0.00,0
营销ROI提升研讨,480,39,7.69,155,0.00,0
